id_compra,montante,loja,data_hora,id_cliente
1,0.00,"Leiria Shopping","2017-06-29 11:33:34",77
2,0.00,Aeroporto,"2019-05-25 08:05:13",33
3,0.00,Colombo,"2014-11-30 20:05:56",95
4,0.00,"CC Setúbal","2014-10-06 11:03:28",87
5,0.00,"Fórum Coimbra","2016-05-02 01:37:04",96
6,0.00,"Santa Catarina","2019-11-16 02:11:05",85
7,0.00,Aeroporto,"2019-06-24 22:12:01",94
8,0.00,"CC Setúbal","2013-10-12 15:38:22",32
9,0.00,"Santa Catarina","2015-07-04 03:37:32",91
10,0.00,"Estação Viana","2018-06-28 12:30:18",12
11,0.00,"Vasgo da Gama","2014-11-12 15:05:25",39
12,0.00,Aeroporto,"2015-04-12 19:31:04",91
13,0.00,Amoreiras,"2014-11-21 17:45:43",55
14,0.00,"Braga Parque","2019-11-07 14:43:25",15
15,0.00,"Fórum Aveiro","2017-11-12 08:25:55",16
16,0.00,"Fórum Algarve","2013-05-10 14:13:39",17
17,0.00,Amoreiras,"2016-08-03 14:29:05",57
18,0.00,"Norte Shopping","2014-08-17 04:33:58",79
19,0.00,"Palácio do Gelo","2018-10-20 21:34:02",25
20,0.00,"Fórum Aveiro","2018-12-12 02:20:39",54
21,0.00,"Nosso Shopping","2015-01-02 10:24:15",13
22,0.00,"Leiria Shopping","2014-07-19 23:51:01",8
23,0.00,"Vasgo da Gama","2016-09-27 07:34:49",37
24,0.00,"Fórum Algarve","2014-07-22 10:51:36",78
25,0.00,"Palácio do Gelo","2017-11-05 09:38:49",78
26,0.00,"Leiria Shopping","2013-12-22 18:38:37",41
27,0.00,Aeroporto,"2018-08-09 14:35:24",9
28,0.00,Colombo,"2015-01-13 05:40:53",26
29,0.00,Amoreiras,"2014-12-07 21:12:37",52
30,0.00,"Gaia Shopping","2016-06-27 05:34:26",96
31,0.00,"Estação Viana","2017-02-27 14:49:14",47
32,0.00,"Évora Plaza","2016-08-26 06:47:32",42
33,0.00,"Santa Catarina","2017-09-25 10:47:20",47
34,0.00,"Santa Catarina","2017-06-02 05:14:51",6
35,0.00,"Vasgo da Gama","2019-10-28 22:54:48",24
36,0.00,"Fórum Algarve","2015-01-30 15:54:48",48
37,0.00,"Fórum Coimbra","2018-06-27 21:24:22",96
38,0.00,"Palácio do Gelo","2015-03-13 13:31:23",96
39,0.00,"Fórum Algarve","2016-03-04 19:32:22",38
40,0.00,"Norte Shopping","2015-05-25 19:58:48",95
41,0.00,"Braga Parque","2013-09-08 13:12:37",4
42,0.00,"Estação Viana","2015-05-25 10:08:05",72
43,0.00,"Vasgo da Gama","2018-03-27 20:09:53",70
44,0.00,"Norte Shopping","2016-01-28 03:06:09",97
45,0.00,"CC Setúbal","2014-08-14 05:35:25",62
46,0.00,"Évora Plaza","2016-07-25 05:07:51",60
47,0.00,"Palácio do Gelo","2017-05-07 05:15:12",48
48,0.00,Amoreiras,"2018-11-10 02:02:06",2
49,0.00,"Nosso Shopping","2013-10-22 13:17:34",97
50,0.00,"Santa Catarina","2019-02-06 10:44:47",63
51,0.00,Amoreiras,"2019-10-13 10:22:24",99
52,0.00,"Fórum Coimbra","2014-01-17 06:46:55",58
53,0.00,"Fórum Aveiro","2013-11-03 02:05:21",64
54,0.00,Colombo,"2018-12-21 16:26:12",61
55,0.00,"CC Setúbal","2013-05-05 13:36:13",20
56,0.00,Colombo,"2014-08-28 19:07:08",1
