id_compra,montante,loja,data_hora,id_cliente
1,340.80,"Estação Viana","2019-06-29 15:04:04",3719
2,378.70,"Fórum Algarve","2013-09-26 10:55:37",1361
3,414.40,"Vasgo da Gama","2019-05-10 11:01:32",733
4,269.50,"Évora Plaza","2015-03-09 08:21:39",2229
5,204.80,"Leiria Shopping","2018-08-31 02:46:47",4055
6,101.60,"Palácio do Gelo","2014-06-23 06:36:05",5141
7,331.30,"Fórum Aveiro","2016-06-01 16:31:48",2665
8,297.00,"Palácio do Gelo","2017-06-04 06:21:22",1741
9,681.30,"Palácio do Gelo","2014-05-21 11:03:05",5669
10,330.90,"Fórum Coimbra","2015-03-03 16:54:50",3607
11,420.10,"Fórum Aveiro","2014-09-28 09:13:54",5050
12,468.90,"Gaia Shopping","2019-11-26 11:23:33",4633
13,105.60,Aeroporto,"2019-03-11 21:59:16",5605
14,498.90,Aeroporto,"2013-05-24 17:00:13",3255
15,653.00,"Santa Catarina","2019-02-20 05:40:28",2386
16,485.70,"Palácio do Gelo","2013-09-22 20:58:30",5617
17,553.30,"Fórum Coimbra","2013-12-29 06:40:00",2711
18,306.00,"Gaia Shopping","2018-04-06 03:32:00",3006
19,201.40,"Palácio do Gelo","2018-05-15 18:13:54",3606
20,487.80,"CC Setúbal","2013-01-07 20:03:06",14
21,197.00,"Nosso Shopping","2015-06-14 12:04:00",778
22,460.50,"Fórum Aveiro","2016-10-03 07:47:31",5969
23,390.60,Colombo,"2015-08-05 02:04:27",4305
24,395.10,"CC Setúbal","2015-12-16 08:36:33",1240
25,172.00,"Fórum Aveiro","2018-11-13 15:33:47",2924
26,308.80,"Vasgo da Gama","2018-04-17 18:31:30",1311
27,213.30,"CC Setúbal","2018-08-24 07:11:30",4787
28,365.50,"Gaia Shopping","2017-03-16 11:09:20",3269
29,145.70,Aeroporto,"2018-07-12 15:23:54",292
30,461.10,"Norte Shopping","2018-10-31 19:10:09",5270
31,171.00,"Vasgo da Gama","2016-09-20 12:05:15",2594
32,224.80,"Estação Viana","2015-04-09 04:07:00",3977
33,848.00,"Vasgo da Gama","2016-11-14 01:43:20",4004
34,254.40,"Vasgo da Gama","2018-03-05 08:13:31",5507
35,331.30,"Braga Parque","2013-03-07 04:27:08",2975
36,553.50,"CC Setúbal","2017-03-25 09:12:43",312
37,253.40,"Fórum Coimbra","2016-04-30 11:28:53",3754
38,121.20,"Gaia Shopping","2016-08-09 02:46:47",3563
39,284.00,"Leiria Shopping","2015-04-09 22:13:10",6225
40,209.80,"Santa Catarina","2014-05-24 02:57:38",3929
41,352.20,"Fórum Algarve","2017-11-22 19:05:15",4498
42,470.90,"Palácio do Gelo","2014-02-01 20:11:21",2528
43,213.40,"Estação Viana","2016-08-30 00:37:29",4689
44,529.90,"Santa Catarina","2014-08-12 21:25:19",5977
45,303.80,"Fórum Coimbra","2019-11-24 18:13:19",5034
46,341.70,"Évora Plaza","2018-05-27 17:49:33",5971
47,399.00,"Fórum Aveiro","2019-11-26 21:04:26",1713
48,529.50,Aeroporto,"2013-01-29 10:39:16",3479
49,201.60,Colombo,"2013-05-15 02:48:37",4820
50,472.00,"Fórum Coimbra","2019-12-09 02:24:56",3618
51,263.60,Colombo,"2014-08-02 04:20:29",5312
52,223.70,"Estação Viana","2014-02-22 14:19:27",4015
53,159.10,"Fórum Algarve","2015-03-02 09:39:32",104
54,252.60,"Fórum Coimbra","2015-05-08 23:42:30",5833
55,133.60,"Vasgo da Gama","2017-06-26 11:31:38",3006
56,571.90,Amoreiras,"2013-03-15 06:29:47",3065
57,171.60,"Gaia Shopping","2013-11-17 04:13:05",1671
58,85.20,"Fórum Coimbra","2018-08-18 06:39:18",2719
59,402.60,"Braga Parque","2016-01-15 05:58:58",2608
60,351.40,Amoreiras,"2018-09-02 22:46:24",1977
61,460.70,"Leiria Shopping","2019-04-13 23:31:44",3963
62,285.40,"Fórum Algarve","2016-03-11 23:48:03",2771
63,426.10,"Braga Parque","2016-02-20 18:37:43",2532
64,517.90,"Gaia Shopping","2015-03-08 10:45:01",3803
65,761.60,"Fórum Algarve","2016-08-07 12:33:25",6137
66,95.10,"Évora Plaza","2018-02-05 20:50:27",4261
67,492.20,"Vasgo da Gama","2018-06-03 11:56:10",1708
68,450.30,"Santa Catarina","2017-10-19 06:35:40",3677
69,349.20,"Norte Shopping","2019-09-26 12:13:31",4862
70,181.00,"Évora Plaza","2014-02-24 08:13:04",3490
71,212.30,"Santa Catarina","2017-07-05 05:42:17",6062
72,505.00,"Vasgo da Gama","2019-06-28 11:31:55",5549
73,93.80,Aeroporto,"2015-11-03 12:25:58",4671
74,480.20,Amoreiras,"2017-05-25 18:22:30",5881
75,83.40,"Évora Plaza","2014-11-29 14:01:43",1816
76,489.30,"Estação Viana","2015-10-07 06:23:45",2861
77,377.00,"Vasgo da Gama","2019-02-11 08:54:59",2240
78,128.60,"Braga Parque","2018-09-03 21:12:22",2528
79,140.10,Aeroporto,"2013-05-08 06:31:26",5942
